EmployeeID,hWorked,sumHContractToWorkWeeklyByMonth,weightNc1,weightNc2,weightNc3
AMOCAT,1043.25,184.68,0,0,0
BALMAR,249.06,101.36,0,0,0
BARTAN,697,191,0,0,0
BENMOH,1790.17,238,0,0,0
BEZANC,1770.94,348,0,0,0
BEZDAL,2821.51,440,0,0,0
BIZMAR,1634.2,388,0,0,0
BOCOLI,1599.92,358,0,0,0
BOUMIN,0,312,0,0,0
BUGMAR,749.16,192,0,0,0
CANMAU,729.5,160,0,0,0
CAPSIL,811.86,156,0,0,0
CASANN,626.7,124,0,0,0
COLGIO,24,128,0,0,0
CORFAB,2358.59,444,0,0,3
CORSIM,611.5,260,0,0,0
DAMDAN,1546.72,419,0,0,0
DELJOS,4074.18,384,0,0,0
DIADIA1,2503.1,416,0,0,0
DIOPAP,1779.82,408,0,0,0
ELASAI,1694.75,344,0,1,1
FENJES,745.22,332,0,3,0
FERANT,0,18,0,0,0
FETRAZ,1834.08,354,0,0,0
GALVIR,1405.74,304,0,0,0
GAVNAD,1328.57,290,0,0,0
HAMFAT,0,0,0,0,0
HARSAM,60,60,0,0,0
HERHAR,2157.25,448,0,0,0
HYSLOR,1642.96,432.5,0,1,0
IGHBRI,1007.75,340,0,0,0
IGIADA,2131.75,332,0,0,0
JIMTIM,2459.44,416,0,0,0
KUKAGN,1148.39,192,0,0,1
LEOVIN,1955.75,480,0,0,0
LOCMON,1145.87,312,0,0,1
LORLAU,472,210,0,0,0
LOSGIO1,1511,429,0,0,0
LOSLUC,1646.02,377,0,0,2
LUCPUL,0,0,0,0,0
LUCROS,1350.09,360,0,0,0
MACDIE,1938,288,0,0,1
MAFWAL,899.18,280,0,0,0
MANGLO,1257.33,382.25,0,0,0
MANJEN,670.18,212,0,0,0
MANMAR,1445,384,0,0,0
MASMAR,101,15,0,0,0
MEHSEZ,1601.49,384,0,0,1
MIGSER,2006.45,428,0,0,0
MORCIN,1154.93,289,0,0,1
MUSPIE,1417.33,189,0,0,0
NEOANT,699.25,98,0,0,0
OREMAR,1503.32,352,1,3,2
OSEMAR,3695,348,0,0,1
OSHRIT,1268.25,306,0,0,0
PAGGAB,1887.02,464,0,1,6
PANSTE,1288.75,300,0,0,0
PASSAR,1355.94,388,0,0,1
PEDREN,2223.94,448,0,0,0
PERLOR,1075.55,132,0,0,0
PIRSIM,1928,338,0,0,0
PISROS,1500.58,296,0,0,1
REGLAU,1502.5,389,0,0,0
RICNIC,199.25,196,0,0,0
RIZMON,1625.11,347,2,0,0
RIZSTE,304,55,0,0,0
ROJJEA,1097.15,189.5,0,0,0
ROMMAR,1635.91,313,0,0,0
SANDEL,192.3,115.05,0,0,0
SILAMA,864.15,181,0,0,0
TAMGEN,1064.5,308,0,0,0
TOMMAR1,945,222,0,0,0
UBBERI,846.5,126,0,0,0
VALSON,886.82,236,0,0,0
VEZDON,1250.89,284,0,0,0
VILMON,1263.28,280,0,0,0
VINMAR,103.5,64,0,0,0
VITANI,445.84,160,0,0,0
WLOKRY,1227.73,360,0,0,0
WONSEN,1871.76,379.75,0,0,0
YAUROS,1090.04,336,0,0,0
ZANSAR,1931.41,430,0,0,2
ZARSAM,1828.18,284,0,0,0
AREDAV,144,40,0,0,0
MICRAN,0,60,0,0,0
TABTIZ,23,5,0,0,0
